questionid,title,text,code,hint,choices,answer,explanation
12,部分文字列の位置を取得,world' が始まる位置を返すメソッドは？,"const str = ""hello world"";
console.log(str.____(""world""));",見つからないと -1 を返すメソッド,"indexOf ,search ,includes ,slice",indexOf,"indexOf [正解] - 部分文字列の最初の位置を返す。
search [不正解] - 正規表現で位置を返す。
includes [不正解] - 含むか真偽値で返す。
slice [不正解] - 部分文字列を取得する。"
13,配列の末尾に要素を追加,4 を末尾に追加するメソッドは？,"const nums = [1, 2, 3];
nums.____(4);
console.log(nums);",戻り値は新しい配列長,"push ,unshift ,pop ,shift",push,"push [正解] - 末尾に追加し配列長を返す。
unshift [不正解] - 先頭に追加。
pop [不正解] - 末尾削除。
shift [不正解] - 先頭削除。"
14,文字列が指定文字列で始まるか判定,文字列が 'https' で始まるか判定するメソッドは？,"const url = ""https://example.com"";
console.log(url.____(""https""));",endsWith の逆にあたるメソッド,"startsWith ,includes ,indexOf ,slice",startsWith,"startsWith [正解] - 先頭一致を true/false で返す。
includes [不正解] - 位置を問わず含むかを返す。
indexOf [不正解] - 先頭かどうかは判別できない。
slice [不正解] - 部分文字列を取得する。"
15,配列の各要素を順に処理,各要素を使って sum に加算するメソッドは？,"const arr = [1, 2, 3];
let sum = 0;
arr.____(n => sum += n);
console.log(sum);",戻り値は undefined で副作用目的,"forEach ,map ,filter ,reduce",forEach,"forEach [正解] - 各要素に対する処理を実行し戻り値は undefined。
map [不正解] - 新配列を返す変換用。
filter [不正解] - 条件抽出。
reduce [不正解] - 累積計算で単一値を返す。"
16,配列に値が含まれているか確認,配列に特定の値が含まれているか確認するメソッドは？,"const colors = [""red"", ""blue"", ""green""];
console.log(colors.____(""blue""));",値が含まれているか真偽値で返すメソッド,"includes ,indexOf ,some ,filter",includes,"includes [正解] - 要素の存在を true/false で返す。
indexOf [不正解] - 位置を数値で返す。
some [不正解] - コールバック必要。
filter [不正解] - 条件要素を抽出する。"
17,配列の先頭に要素を追加,配列の先頭に要素を追加するメソッドは？,"const nums = [2, 3];
nums.____(1);
console.log(nums);",先頭に追加し戻り値は新しい length,"unshift ,push ,shift ,pop",unshift,"unshift [正解] - 先頭に追加し新しい長さを返す。
push [不正解] - 末尾に追加。
shift [不正解] - 先頭削除。
pop [不正解] - 末尾削除。"
18,配列の末尾の要素を削除,配列の末尾の要素を取り出して削除するメソッドは？,"const fruits = [""apple"", ""banana"", ""orange""];
const removed = fruits.____();
console.log(removed);",配列の最後の要素を取り出し戻り値で返す,"pop ,push ,shift ,slice",pop,"pop [正解] - 末尾を削除し要素を返す。
push [不正解] - 末尾追加。
shift [不正解] - 先頭削除。
slice [不正解] - 非破壊コピー。"
19,配列の先頭の要素を削除,配列の先頭の要素を取り出して削除するメソッドは？,"const queue = [""first"", ""second""];
const first = queue.____();
console.log(first);",配列が 1 つ短くなる,"shift ,unshift ,pop ,slice",shift,"shift [正解] - 先頭削除し要素を返す。
unshift [不正解] - 先頭追加。
pop [不正解] - 末尾削除。
slice [不正解] - コピーのみ。"
20,配列を結合する,2 つの配列を結合して新しい配列を返すメソッドは？,"const arr1 = [1, 2];
const arr2 = [3, 4];
const combined = arr1.____(arr2);
console.log(combined);",元の配列を変更しない,"concat ,push ,join ,splice",concat,"concat [正解] - 非破壊で配列を結合し新配列を返す。
push [不正解] - 末尾追加で破壊的。
join [不正解] - 配列→文字列変換。
splice [不正解] - 破壊的挿入削除。"
21,文字列を大文字に変換,文字列をすべて大文字に変換するメソッドは？,"const msg = ""hello"";
console.log(msg.____());",引数なしの to…Case 系メソッド,"toUpperCase ,toLowerCase ,capitalize ,replace",toUpperCase,"toUpperCase [正解] - すべて大文字に変換。
toLowerCase [不正解] - 小文字に変換。
capitalize [不正解] - 標準メソッドなし。
replace [不正解] - 文字列置換を行う。"
22,文字列を小文字に変換,文字列をすべて小文字に変換するメソッドは？,"const msg = ""HELLO"";
console.log(msg.____());",引数なしの to…Case 系メソッド,"toLowerCase ,toUpperCase ,trim ,replace",toLowerCase,"toLowerCase [正解] - すべて小文字に変換。
toUpperCase [不正解] - 大文字に変換。
trim [不正解] - 前後空白を除去。
replace [不正解] - 置換。"
23,指定位置の文字を取得,文字列の 5 文字目 (index 4) の文字を取得するメソッドは？,"const str = ""JavaScript"";
console.log(str.____(4));",インデックスを渡して取得,"charAt ,substring ,slice ,at",charAt,"charAt [正解] - 指定インデックスの文字を返す。
substring [不正解] - 範囲指定で部分文字列を返す。
slice [不正解] - substring に似るが負数可。
at [不正解] - ES2022 汎用取得。"
24,文字列を繰り返す,文字列を 3 回繰り返した結果を返すメソッドは？,"const word = ""ha"";
console.log(word.____(3));",ES6 追加の繰り返し,"repeat ,padEnd ,concat ,replaceAll",repeat,"repeat [正解] - 文字列を指定回数繰り返し新しい文字列を返す。
padEnd [不正解] - 右側に文字を埋める。
concat [不正解] - 文字列を結合。
replaceAll [不正解] - 文字列全置換。"
25,配列の一部分を取り出す,インデックス 1 以上 3 未満の要素を取り出すメソッドは？,"const letters = [""a"", ""b"", ""c"", ""d""];
const part = letters.____(1, 3);
console.log(part);",元の配列は変更しない,"slice ,splice ,substr ,filter",slice,"slice [正解] - 非破壊で部分配列を返す。
splice [不正解] - 破壊的に変更。
substr [不正解] - 文字列用旧 API。
filter [不正解] - 条件抽出メソッド。"
26,文字列を配列に分割,文字列をカンマで区切って配列を得るメソッドは？,"const data = ""a,b,c"";
const arr = data.____(",");",区切り文字で分割し配列を返します,"split,slice,substring,join",split,"split [正解] - 文字列を区切り文字で分割し新しい配列を返します (元の文字列はそのまま)。
slice [不正解] - 文字列/配列の一部分をコピーするだけで配列化しません。
substring [不正解] - 文字列の一部を取得して文字列で返します。
join [不正解] - 配列を文字列へ連結するメソッドで分割とは逆方向です。"
27,文字列を置換する,文字列の最初の 'cat' を 'dog' に置き換えるメソッドは？,"const str = ""cat and cat"";
console.log(str.____(""cat"",""dog""));",最初に一致した部分だけ置換します,"replace,replaceAll,match,search",replace,"replace [正解] - 最初に一致した部分だけ置換し新しい文字列を返します。第二引数に関数を渡すと動的置換も可能です。
replaceAll [不正解] - すべての一致を置換します。今回の要件は「最初だけ」なので該当しません。
match [不正解] - 正規表現に一致する部分を配列で返すだけで置換はしません。
search [不正解] - 一致した位置を数値で返すだけで置換機能はありません。"
28,前後の空白を除去,文字列の前後にある空白を取り除くメソッドは？,"const name = ""  Alice  "";
console.log(name.____());",引数なしで前後の空白を削除,"trim,slice,padStart,repeat",trim,"trim [正解] - 文字列両端の空白・改行・タブを削除して新しい文字列を返します。内部の空白は対象外です。
slice [不正解] - 開始/終了位置で部分文字列を取得するだけで空白除去はしません。
padStart [不正解] - 指定長になるまで左側に文字を追加するメソッドです。
repeat [不正解] - 文字列を指定回数繰り返します。空白除去とは無関係です。"
29,文字列が指定語で終わるか確認,文字列が '.jpg' で終わるか調べるメソッドは？,"const file = ""photo.jpg"";
console.log(file.____("".jpg""));",末尾一致を真偽値で返すメソッド,"endsWith,startsWith,includes,indexOf",endsWith,"endsWith [正解] - 末尾が指定文字列に一致するか判定します。第 2 引数で比較長を指定できます。
startsWith [不正解] - 先頭が一致するかを判定します。
includes [不正解] - 文字列全体に指定語を含むか判定します。位置は問わず末尾限定ではありません。
indexOf [不正解] - 一致した位置を数値で返すだけで末尾かどうかは分かりません。"
30,部分文字列を取得,インデックス 0〜4 の部分文字列を取得するメソッドは？,"const word = ""JavaScript"";
console.log(word.____(0,4));",開始と終了インデックスで指定,"substring,slice,substr,charAt",substring,"substring [正解] - 開始位置と終了位置(終了は含まない)を指定して部分文字列を取得します。start > end の場合自動で入れ替わる仕様があります。
slice [不正解] - slice(0,4) でも同じ結果ですが負のインデックスを扱えるなど仕様が異なります。
substr [不正解] - 開始位置と長さを指定する旧 API で現在は非推奨です。
charAt [不正解] - 単一文字を取得するメソッドで範囲指定はできません。"
31,文字列が指定語で始まるか確認,文字列が 'https' で始まるか調べるメソッドは？,"const url = ""https://example.com"";
console.log(url.____(""https""));",先頭一致を true/false で返す,"startsWith,endsWith,includes,indexOf",startsWith,"startsWith [正解] - 文字列の先頭が指定文字で始まるかを判定し **true/false** を返します。第 2 引数で開始位置をずらせます。
endsWith [不正解] - 末尾が一致するかを調べる。
includes [不正解] - 部分文字列を含むかを調べるだけで位置は限定しない。
indexOf [不正解] - 一致位置を数値で返すだけで真偽値にはならない。"
32,文字列を繰り返す,文字列を 3 回繰り返して連結するメソッドは？,"const laugh = ""ha"";
console.log(laugh.____(3));",ES6 で追加されたメソッド,"repeat,padEnd,concat,replace",repeat,"repeat [正解] - 引数の回数だけ文字列を繰り返し **新しい文字列** を返します。負の数や Infinity を渡すとエラーになります。
padEnd [不正解] - 右側に文字を埋めて長さをそろえる。
concat [不正解] - 2 つ以上の文字列を結合する。
replace [不正解] - 一部分を別の文字列に置き換える。"
33,配列を好きな区切りで連結,配列を ' - ' 区切りで連結した文字列を作るメソッドは？,"const colors = [""red"",""green"",""blue""];
console.log(colors.____("" - ""));",配列 → 文字列 方向のメソッド,"join,toString,concat,map",join,"join [正解] - 区切り文字を指定して配列要素を連結し **1 つの文字列** を返します。空文字や改行も指定可能。
toString [不正解] - 区切りは常にカンマで固定。
concat [不正解] - 配列同士を結合して新配列を返す。
map [不正解] - 要素変換を行い新配列を返す。"
34,最初の一致位置を取得,配列に 'b' がある最初の位置を返すメソッドは？,"const letters = [""a"",""b"",""c"",""b""];
console.log(letters.____(""b""));",見つからなければ -1 を返す,"indexOf,findIndex,includes,some",indexOf,"indexOf [正解] - 指定値が最初に現れるインデックスを返す。見つからない場合は -1。
findIndex [不正解] - コールバック関数の条件で検索する。
includes [不正解] - 値を含むかどうかを **true/false** で返すだけ。
some [不正解] - 条件を満たす要素があるかを真偽値で返す。"
35,配列の末尾に要素を追加,配列末尾に 4 を追加するメソッドは？,"const nums = [1,2,3];
nums.____(4);
console.log(nums);",戻り値は新しい length,"push,unshift,pop,shift",push,"push [正解] - 要素を末尾に追加し配列の **新しい長さ** を返します。元配列が直接更新されます。
unshift [不正解] - 先頭に追加する。
pop [不正解] - 末尾の要素を削除して返す。
shift [不正解] - 先頭の要素を削除して返す。"
36,配列をソートする,数値配列を昇順にソートするメソッドは？,"const numbers = [3,1,2];
console.log(numbers.____((a,b)=>a-b));",比較関数で並べ替え,"sort,reverse,filter,push",sort,"sort [正解] - 比較関数を指定して並べ替える。配列は直接変更される。
reverse [不正解] - 要素の順序を逆転させるだけ。
filter [不正解] - 条件抽出で並べ替えは行わない。
push [不正解] - 要素を末尾に追加する。"
37,各要素を変換,配列内の数を 2 倍にした新配列を得るメソッドは？,"const nums = [1,2,3];
const doubled = nums.____(n=>n*2);
console.log(doubled);",新しい配列を返す,"map,forEach,filter,reduce",map,"map [正解] - 各要素を関数で変換し、新しい配列を返す。元配列はそのまま。
forEach [不正解] - 副作用目的で戻り値は undefined。
filter [不正解] - 条件を満たす要素を抽出する。
reduce [不正解] - 配列を単一値に畳み込む。"
38,条件抽出,偶数だけを取り出すメソッドは？,"const nums = [1,2,3,4];
const evens = nums.____(n=>n%2===0);
console.log(evens);",条件を通過した要素を残す,"filter,map,some,every",filter,"filter [正解] - true を返した要素だけを集めた新配列を返す。
map [不正解] - 変換処理で抽出はしない。
some [不正解] - 条件を満たす要素があるかを真偽値で返す。
every [不正解] - 全要素が条件を満たすかを真偽値で返す。"
39,値を畳み込む,配列の合計を求めるメソッドは？,"const nums = [1,2,3];
const total = nums.____((sum,n)=>sum+n,0);
console.log(total);",初期値を渡して累積する,"reduce,map,forEach,slice",reduce,"reduce [正解] - 先頭から順に累積し単一の値を返す。ここでは合計を計算。
map [不正解] - 新配列を作るだけで累積しない。
forEach [不正解] - 副作用のみで戻り値なし。
slice [不正解] - 部分配列を切り出す。"
40,条件に合う最初の要素,奇数を最初に見つけるメソッドは？,"const nums = [2,4,5,6];
console.log(nums.____(n=>n%2));",要素を返し ないときは undefined,"find,filter,some,findIndex",find,"find [正解] - 条件を満たす最初の要素を返す。見つからなければ undefined。
filter [不正解] - 条件を満たすすべての要素を新配列で返す。
some [不正解] - 条件を満たすかどうかだけを真偽値で返す。
findIndex [不正解] - 条件を満たす最初のインデックスを返す。"
41,条件に合うインデックス,3 のインデックスを返すメソッドは？,"const nums = [1,3,5];
console.log(nums.____(n=>n===3));",見つからないと -1,"findIndex,indexOf,includes,some",findIndex,"findIndex [正解] - コールバック条件を満たす最初のインデックスを返す。
indexOf [不正解] - 値が一致する最初の位置を返すだけ。
includes [不正解] - 値を含むかを真偽値で返す。
some [不正解] - 条件を満たす要素が存在するかを真偽値で返す。"
42,全要素が条件を満たすか,すべて偶数かどうか判定するメソッドは？,"const nums = [2,4,6];
console.log(nums.____(n=>n%2===0));",すべて true なら true,"every,some,filter,reduce",every,"every [正解] - 全要素が条件を満たすかを真偽値で返す。
some [不正解] - 1 つでも満たせば true。
filter [不正解] - 条件を満たす要素を抽出する。
reduce [不正解] - 累積計算用。"
43,一部要素が条件を満たすか,配列に負数があるかを調べるメソッドは？,"const nums = [1,-1,2];
console.log(nums.____(n=>n<0));",1 つでも true なら true,"some,every,find,includes",some,"some [正解] - 条件を満たす要素が 1 つでもあれば true。
every [不正解] - 全要素が満たすかを判定する。
find [不正解] - 条件を満たす最初の要素を返す。
includes [不正解] - 値の有無だけを真偽値で返す。"
44,配列を平坦化する,ネストを 1 段だけ平坦化するメソッドは？,"const nested = [1,[2,3]];
console.log(nested.____());",引数なしで深さ 1 を平坦化,"flat,flatMap,concat,reduce",flat,"flat [正解] - ネスト配列を 1 段分だけ平坦化した新配列を返す。
flatMap [不正解] - 変換後に平坦化を行う複合メソッド。
concat [不正解] - 配列を結合するだけで平坦化はしない。
reduce [不正解] - ループ処理次第で平坦化できるが目的が異なる。"
45,変換後に平坦化,各要素を 2 倍にして 1 段平坦化するメソッドは？,"const nums = [1,2];
console.log(nums.____(n=>[n*2]));",map と flat の組み合わせ,"flatMap,map,flat,reduce",flatMap,"flatMap [正解] - map で変換後に深さ 1 で平坦化した配列を返す。
map [不正解] - 変換するがネスト配列のまま。
flat [不正解] - 変換は行わず平坦化だけ。
reduce [不正解] - 自前で展開できるが複雑になる。"
46,配列を同じ値で埋める,インデックス 0〜2 を 'x' で埋めるメソッドは？,"const arr = [""a"",""b"",""c""];
arr.____(""x"",0,2);
console.log(arr);",破壊的に書き換える,"fill,splice,copyWithin,push",fill,"fill [正解] - 指定範囲を同じ値で上書きする。
splice [不正解] - 挿入や削除を行う汎用メソッド。
copyWithin [不正解] - 配列内の一部を他位置へコピー。
push [不正解] - 要素を末尾に追加する。"
47,配列をコピーする,末尾 2 要素を先頭にコピーするメソッドは？,"const arr = [1,2,3,4];
arr.____(0,2);
console.log(arr);",長さは変わらない,"copyWithin,splice,fill,slice",copyWithin,"copyWithin [正解] - 配列内部の値を別の位置にコピーしながら上書きする。
splice [不正解] - 挿入や削除で配列長が変わる可能性がある。
fill [不正解] - 同じ値で埋める。
slice [不正解] - 非破壊で部分配列を取得する。"
48,最後の一致位置を取得,文字列中の最後の 'a' の位置を返すメソッドは？,"const word = ""banana"";
console.log(word.____(""a""));",後ろから調べる,"lastIndexOf,indexOf,includes,search",lastIndexOf,"lastIndexOf [正解] - 指定文字が最後に現れる位置を返す。
indexOf [不正解] - 最初に現れる位置を返す。
includes [不正解] - 存在するかを真偽値で返すだけ。
search [不正解] - 正規表現での最初の一致位置を返す。"
49,文字コードを取得,文字 'A' の UTF-16 コードを取得するメソッドは？,"const ch = ""A"";
console.log(ch.____(0));",16 ビットのコードを返す,"charCodeAt,codePointAt,fromCharCode,charAt",charCodeAt,"charCodeAt [正解] - UTF-16 コードユニットを数値で返す。
codePointAt [不正解] - サロゲートペアを考慮したコードポイントを返す。
fromCharCode [不正解] - 数値から文字を生成する静的メソッド。
charAt [不正解] - 指定位置の文字を取得する。"
50,コードポイントを取得,絵文字のコードポイントを取得するメソッドは？,"const smile = ""😀"";
console.log(smile.____(0));",サロゲートペア対応,"codePointAt,charCodeAt,at,substring",codePointAt,"codePointAt [正解] - サロゲートペアを正しく扱いコードポイントを返す。
charCodeAt [不正解] - 16 ビット単位でしか取得できない。
at [不正解] - インデックスで文字を取得するメソッド。
substring [不正解] - 部分文字列を取得するだけ。"
51,固定小数点文字列に変換,数値を小数第 2 位までの文字列にするメソッドは？,"const n = 1.2345;
console.log((n).____(2));",戻り値は文字列,"toFixed,toPrecision,toString,round",toFixed,"toFixed [正解] - 小数点以下を固定桁で丸め文字列として返す。
toPrecision [不正解] - 有効桁数で丸める。
toString [不正解] - 文字列変換で丸め処理はしない。
round [不正解] - Math ライブラリの四捨五入で戻り値は数値。"
52,有効桁数で丸める,数値を 3 桁の精度に丸めるメソッドは？,"const n = 123.456;
console.log((n).____(3));",指数表記になる場合あり,"toPrecision,toFixed,toExponential,floor",toPrecision,"toPrecision [正解] - 有効桁数指定で丸め文字列を返す。指数表記になることがある。
toFixed [不正解] - 小数点以下の桁を固定。
toExponential [不正解] - 指数表記で文字列化。
floor [不正解] - 整数に切り捨てる Math 関数。"
53,指数表記文字列に変換,数値を指数表記に変換するメソッドは？,"const n = 1000;
console.log((n).____(2));",指数部の桁数を指定,"toExponential,toString,toFixed,ceil",toExponential,"toExponential [正解] - 指数表記の文字列を返す。
toString [不正解] - 基数を指定して文字列化する一般メソッド。
toFixed [不正解] - 固定小数点形式に変換。
ceil [不正解] - 数値を切り上げる Math 関数。"
54,文字列をロケール比較,a' と 'b' をロケール順で比較するメソッドは？,"console.log(""a"".____(""b""));","戻り値は -1, 0, 1","localeCompare,compare,indexOf,includes",localeCompare,"localeCompare [正解] - ロケール設定に従い大小を比較し数値で返す。
compare [不正解] - 標準メソッドには存在しない。
indexOf [不正解] - 部分文字列の位置を検索する。
includes [不正解] - 部分文字列の有無を真偽値で返す。"
55,正規表現マッチ,文字列中の数字だけ抽出するメソッドは？,"const str = ""a1b2"";
console.log(str.____(/\\d/g));",配列または null を返す,"match,search,replace,test",match,"match [正解] - 正規表現に一致した部分を配列で返す。
search [不正解] - 最初の一致位置を返すだけ。
replace [不正解] - 一致部分を置換する。
test [不正解] - 正規表現オブジェクトのメソッドで真偽値を返す。"
56,正規表現検索位置,最初の数字の位置を返すメソッドは？,"const str = ""abc123"";
console.log(str.____(/\\d/));",見つからなければ -1,"search,indexOf,match,replace",search,"search [正解] - 正規表現の最初の一致位置を返す。
indexOf [不正解] - 文字列パターンのみ検索可能で正規表現は不可。
match [不正解] - 一致部分を配列で返す。
replace [不正解] - 一致部分を置換する。"
57,すべて置換,文字列中の '-' を '/' に全置換するメソッドは？,"const date = ""2025-08-05"";
console.log(date.____(""-"",""/""));",ES2021 で追加,"replaceAll,replace,split,join",replaceAll,"replaceAll [正解] - すべての一致を置換して新しい文字列を返す。
replace [不正解] - 最初の一致のみ置換。
split [不正解] - 区切って配列を作成する。
join [不正解] - 配列要素を連結して文字列にする。"
58,キーと値のイテレータ,"配列から [index, value] のイテレータを得るメソッドは？","const arr = [""a"",""b""];
const it = arr.____();
console.log(it.next().value);",双方向ループで便利,"entries,keys,values,forEach",entries,"entries [正解] - [インデックス, 値] を返すイテレータを取得。
keys [不正解] - インデックスだけを列挙する。
values [不正解] - 値だけを列挙する。
forEach [不正解] - コールバックで要素を処理するだけ。"
59,値だけのイテレータ,配列の値を順に取り出すイテレータを得るメソッドは？,"const arr = [10,20];
const it = arr.____();
console.log(it.next().value);",ES2015 の iterable,"values,entries,keys,map",values,"values [正解] - 要素の値を列挙するイテレータを取得。
entries [不正解] - [インデックス, 値] のペアを列挙する。
keys [不正解] - インデックスのみを列挙する。
map [不正解] - 配列を変換して新配列を返す。"
60,at メソッド,配列の最後の要素を取得する簡単なメソッドは？,"const arr = [1,2,3];
console.log(arr.____(-1));",負のインデックスが使える,"at,pop,slice,charAt",at,"at [正解] - 正負のインデックスで要素を取得する。負数は後ろから数える。
pop [不正解] - 末尾要素を削除して返す。
slice [不正解] - 部分配列を取得して元は変えない。
charAt [不正解] - 文字列専用で配列には使えない。"
61,右から畳み込む,文字列を右から結合するメソッドは？,"const arr = [""a"",""b"",""c""];
console.log(arr.____((acc,v)=>acc+v,""""));",右端から処理,"reduceRight,reduce,join,reverse",reduceRight,"reduceRight [正解] - 右端から左に向かって累積処理を行う。
reduce [不正解] - 左から右へ累積処理。
join [不正解] - 区切り文字で連結する簡易メソッド。
reverse [不正解] - 要素順を反転するだけ。"
62,末尾へ要素追加,配列末尾に 'x' を追加するメソッドは？,"const arr = [""a""];
arr.____(""x"");
console.log(arr);",戻り値は新しい length,"push,unshift,concat,fill",push,"push [正解] - 要素を末尾に追加し長さを返す。配列は直接更新される。
unshift [不正解] - 先頭に追加する。
concat [不正解] - 配列同士を結合して新配列を返す。
fill [不正解] - 同じ値で範囲を埋める。"
63,末尾要素を削除,配列末尾要素を削除して返すメソッドは？,"const arr = [""a"",""b""];
const last = arr.____();
console.log(last);",配列長が 1 減る,"pop,shift,slice,splice",pop,"pop [正解] - 末尾の要素を削除し、その要素を返す。
shift [不正解] - 先頭要素を削除する。
slice [不正解] - 非破壊で部分配列を取得する。
splice [不正解] - 挿入や削除を行う汎用メソッド。"
64,先頭要素を削除,配列先頭要素を削除して返すメソッドは？,"const arr = [1,2];
const first = arr.____();
console.log(first);",配列長が 1 減る,"shift,pop,unshift,slice",shift,"shift [正解] - 先頭要素を削除して返す。
pop [不正解] - 末尾要素を削除する。
unshift [不正解] - 先頭に要素を追加する。
slice [不正解] - 非破壊で部分配列を取得する。"
65,先頭要素を追加,配列先頭に 0 を追加するメソッドは？,"const arr = [1,2];
arr.____(0);
console.log(arr);",戻り値は新しい length,"unshift,push,concat,fill",unshift,"unshift [正解] - 先頭に要素を追加し配列長を返す。
push [不正解] - 末尾に追加する。
concat [不正解] - 新配列を返す非破壊結合。
fill [不正解] - 範囲を同じ値で上書きする。"
66,配列を結合,2 つの配列を結合し新配列を返すメソッドは？,"const a = [1];
const b = [2];
const c = a.____(b);
console.log(c);",元の配列は変更しない,"concat,push,splice,flat",concat,"concat [正解] - 配列を結合して新しい配列を返す。
push [不正解] - 末尾に追加して元配列を変える。
splice [不正解] - 挿入や削除を行い元配列が変わる。
flat [不正解] - ネスト配列の平坦化に使う。"
67,部分配列を取得,配列の index 1 以降を取り出すメソッドは？,"const arr = [""a"",""b"",""c""];
const part = arr.____(1);
console.log(part);",非破壊でコピーする,"slice,splice,substr,filter",slice,"slice [正解] - 開始・終了インデックスで部分配列を新しく作る。元配列は変わらない。
splice [不正解] - 挿入や削除を行う破壊的メソッド。
substr [不正解] - 文字列専用の旧 API。
filter [不正解] - 条件抽出で要素を選ぶ。"
68,配列を挿入削除,インデックス 1 の要素を削除するメソッドは？,"const arr = [""a"",""b"",""c""];
arr.____(1,1);
console.log(arr);",戻り値は削除した配列,"splice,slice,pop,fill",splice,"splice [正解] - 挿入・削除を行い元配列が変わる。戻り値は削除要素の配列。
slice [不正解] - 部分配列を取得するだけ。
pop [不正解] - 末尾要素を削除する。
fill [不正解] - 範囲を同じ値で上書きする。"
