questionid,title,text,code,hint,choices,answer,explanation,quiz,type
219,ネスト配列の平坦化【入力】,入れ子配列を“1段”だけ平坦化するメソッドは？,"const nested = [1, [2, 3], [4, [5]]];
const flat1 = nested.____(1);
console.log(flat1); // [1, 2, 3, 4, [5]]",深さは引数で指定（既定1）。,-,flat,指定の深さ分だけ平坦化する。,QuizIntermediate1,input
220,自前プロパティの存在確認【入力】,オブジェクトが“自身の”プロパティを持つか安全に判定するメソッドは？（ES2022）,"const user = Object.create({ role: 'guest' });
user.name = 'Aki';
console.log(Object.____(user, 'name')); // true
console.log(Object.____(user, 'role')); // false",proto継承は含めない。,-,hasOwn,Object.hasOwnで自身のプロパティのみ判定。,QuizIntermediate1,input
221,一部置換の非破壊更新【入力】,指定インデックスの要素だけを置き換えた“新配列”を返すメソッドは？（ES2023）,"const arr = [10, 20, 30];
const next = arr.____(1, 99);
console.log(next); // [10, 99, 30]
console.log(arr);  // [10, 20, 30]",非破壊更新。,-,with,指定位置を差し替えた新配列を返す。,QuizIntermediate1,input
222,配列連結（非破壊）【入力】,複数の配列や値を連結した“新しい配列”を返すメソッドは？,"const a = [1,2];
const b = [3];
const all = a.____(b, 4);
console.log(all); // [1,2,3,4]",元配列は変わらない。,-,concat,配列を非破壊で連結する。,QuizIntermediate1,input
223,要素の反復処理【入力】,各要素に対して副作用的な処理を実行するが、戻り値を持たないメソッドは？,"const logs = [];
[1,2,3].____(n => logs.push(n*n));
console.log(logs); // [1,4,9]",チェーンはできない。,-,forEach,副作用目的で各要素を処理。戻り値なし。,QuizIntermediate1,input
224,存在確認（配列/文字列）【入力】,指定の値や部分文字列を“含むか”を真偽値で返すメソッドは？,"console.log([1,2,3].____(2));   // true
console.log('abc'.____('b')); // true",厳密一致。,-,includes,含有の真偽値を返す。,QuizIntermediate1,input
225,条件に合う要素のカウント【入力】,条件を満たす要素数を数える際に、1パスで合計を算出できるメソッドは？,"const evens = [1,2,3,4,5,6].____((acc,n)=>acc+(n%2===0),0);
console.log(evens); // 3",畳み込みで数える。,-,reduce,累積値で1パス集計。,QuizIntermediate1,input
226,末尾の要素を取り出す【入力】,配列の末尾から要素を1つ“取り出し”て返し、配列を縮めるメソッドは？,"const s = [10,20,30];
const x = s.____();
console.log(x, s); // 30, [10,20]",破壊的。,-,pop,末尾要素を取り出す（破壊的）。,QuizIntermediate1,input
227,末尾へ要素を追加【入力】,配列の末尾に要素を追加し、新しい長さを返すメソッドは？,"const s = [1,2];
const len = s.____(3,4);
console.log(len, s); // 4, [1,2,3,4]",破壊的。,-,push,末尾に追加して長さを返す。,QuizIntermediate1,input
228,先頭から要素を取り出す【入力】,配列の先頭要素を取り出して返し、配列を前詰めにするメソッドは？,"const q = [9,8,7];
const head = q.____();
console.log(head, q); // 9, [8,7]",キューの取り出し。,-,shift,先頭要素を取り出す（破壊的）。,QuizIntermediate1,input
229,先頭へ要素を追加【入力】,配列の先頭に要素を追加し、新しい長さを返すメソッドは？,"const q = [3,4];
const len = q.____(1,2);
console.log(len, q); // 4, [1,2,3,4]",スタックの反対側。,-,unshift,先頭に追加して長さを返す。,QuizIntermediate1,input
230,数値昇順（非破壊）【入力】,比較関数を指定して“非破壊”に数値昇順へ並べ替えるメソッドは？,"const a = [10,2,30];
const b = a.____((x,y)=>x-y);
console.log(b); // [2,10,30]
console.log(a); // [10,2,30]",to* 系。,-,toSorted,非破壊で並べ替え結果を返す。,QuizIntermediate1,input
